name,description,price,originalPrice,stock,mainImageUrl,images,category,brand,sku,active,rating,reviewCount
Oppo K1,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",24899,29380,55,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp|https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/1.webp|https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/2.webp|https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/3.webp,Electronics,Oppo,ELEC-0004,true,4.2,414
iPhone 12 Silicone Case with MagSafe Plum,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,2489,2937,69,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp|https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/1.webp|https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/2.webp|https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/3.webp,Electronics,Apple,ELEC-0005,true,3.8,281
Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",9129,10772,62,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/1.webp|https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/2.webp|https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/3.webp,Fashion,Off White,FASH-0011,true,4.7,169
Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",9959,11751,17,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/1.webp|https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/2.webp|https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/3.webp,Fashion,Off White,FASH-0012,true,4.8,162
Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",7469,8813,90,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/1.webp|https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/2.webp|https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/3.webp,Fashion,Puma,FASH-0013,true,4.9,155
Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,6639,7834,12,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/1.webp|https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/2.webp|https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/3.webp,Fashion,Nike,FASH-0014,true,3.9,148
Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",12449,14689,7,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/1.webp|https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/2.webp|https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/3.webp,Fashion,Nike,FASH-0015,true,4.8,141
Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",2323,2741,95,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/1.webp|https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/2.webp|https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/3.webp,Fashion,Urban Chic,FASH-0016,true,3.8,134
Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",1659,1959,5,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/1.webp|https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/2.webp|https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/3.webp,Fashion,Casual Comfort,FASH-0017,true,3.8,127
Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,2904,3426,82,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/1.webp|https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/2.webp|https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/3.webp,Fashion,Classic Wear,FASH-0018,true,3.8,120
Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",2074,2447,90,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/1.webp|https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/2.webp|https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/3.webp,Fashion,Gigabyte,FASH-0019,true,3.8,113
Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",2489,2937,38,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp|https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/1.webp|https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/2.webp|https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/3.webp,Fashion,Fashion Trends,FASH-0020,true,3.8,106
Microwave Oven,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",7469,8813,59,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/1.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/2.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/3.webp,Home,LUXE,HOME-0001,true,4.8,487
Electric Stove,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,4149,4895,21,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/1.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/2.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/3.webp,Home,LUXE,HOME-0002,true,4.1,417
Boxed Blender,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",3319,3916,9,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/1.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/2.webp|https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/3.webp,Home,LUXE,HOME-0003,true,4.6,382
Plant Pot,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",1244,1544,59,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp|https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/1.webp|https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/2.webp|https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/3.webp,Home,LUXE,HOME-0004,true,3.8,347
Women's Wrist Watch,"The Women's Wrist Watch is a versatile and fashionable timepiece for everyday wear. With a comfortable strap and a simple yet elegant design, it complements various styles.",10789,12731,12,https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/1.webp|https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/2.webp|https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/3.webp,Accessories,Fashion Co.,ACCS-0002,true,3.8,383
Watch Gold for Women,"The Gold Women's Watch is a stunning accessory that combines luxury and style. Featuring a gold-plated case and a chic design, it adds a touch of glamour to any outfit.",66399,78350,5,https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/1.webp|https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/2.webp|https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/3.webp,Accessories,Fashion Gold,ACCS-0003,true,4.2,376
Rolex Datejust Women,"The Rolex Datejust Women's watch is an iconic timepiece designed for women. With a timeless design and a date complication, it offers both elegance and functionality.",912999,1077338,5,https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/1.webp|https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/2.webp|https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/3.webp,Accessories,Rolex,ACCS-0004,true,3.8,369
Rolex Cellini Moonphase,"The Rolex Cellini Moonphase watch is a masterpiece of horology. Featuring a moon phase complication, it showcases the craftsmanship and elegance that Rolex is renowned for.",1327999,1567038,52,https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/1.webp|https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/2.webp|https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/3.webp,Accessories,Rolex,ACCS-0005,true,3.8,362
IWC Ingenieur Automatic Steel,"The IWC Ingenieur Automatic Steel watch is a durable and sophisticated timepiece. With a stainless steel case and automatic movement, it combines precision and style for watch enthusiasts.",414999,489698,90,https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/1.webp|https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/2.webp|https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/3.webp,Accessories,IWC,ACCS-0006,true,3.8,355
Tropical Earring,"The Tropical Earring is a fun and playful accessory inspired by tropical elements. Featuring vibrant colors and a lively design, it's perfect for adding a touch of summer to your look.",1659,1959,5,https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/1.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/2.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/3.webp,Jewelry,LUXE,JEWL-0001,true,4.4,313
Green Oval Earring,"The Green Oval Earring is a stylish and versatile accessory with a unique oval shape. Whether for casual or dressy occasions, its green hue and contemporary design make it a standout piece.",2074,2447,73,https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/1.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/2.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/3.webp,Jewelry,LUXE,JEWL-0002,true,3.8,306
Green Crystal Earring,"The Green Crystal Earring is a dazzling accessory that features a vibrant green crystal. With a classic design, it adds a touch of elegance to your ensemble, perfect for formal or special occasions.",2489,2937,54,https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/1.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/2.webp|https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/3.webp,Jewelry,LUXE,JEWL-0003,true,4.0,299
Women Handbag Black,"The Women Handbag in Black is a classic and versatile accessory that complements various outfits. With a timeless black color and functional design, it's a must-have in every woman's wardrobe.",4979,5875,11,https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/1.webp|https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/2.webp|https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/3.webp,Accessories,Elegance Collection,ACCS-0007,true,3.8,257
White Faux Leather Backpack,"The White Faux Leather Backpack is a trendy and practical backpack for the modern woman. With a sleek white design and ample storage space, it's perfect for both casual and on-the-go styles.",3319,3916,39,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/1.webp|https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/2.webp|https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/3.webp,Accessories,Urban Chic,ACCS-0008,true,3.8,250
Prada Women Bag,"The Prada Women Bag is an iconic designer bag that exudes elegance and luxury. Crafted with precision and featuring the Prada logo, it's a statement piece for fashion enthusiasts.",49799,58762,75,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/1.webp|https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/2.webp|https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/3.webp,Accessories,Prada,ACCS-0009,true,3.8,243
Heshe Women's Leather Bag,"The Heshe Women's Leather Bag is a luxurious and high-quality leather bag for the sophisticated woman. With a timeless design and durable craftsmanship, it's a versatile accessory.",10789,12731,99,https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/1.webp|https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/2.webp|https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/3.webp,Accessories,Heshe,ACCS-0010,true,4.9,236
Blue Women's Handbag,"The Blue Women's Handbag is a stylish and spacious accessory for everyday use. With a vibrant blue color and multiple compartments, it combines fashion and functionality.",4149,4895,76,https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp,https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp|https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/1.webp|https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/2.webp|https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/3.webp,Accessories,Fashionista,ACCS-0011,true,3.8,229
Sunglasses,The Sunglasses offer a classic and simple design with a focus on functionality. These sunglasses provide essential UV protection while maintaining a timeless look.,1908,2251,27,https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp,https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp|https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/1.webp|https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/2.webp|https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/3.webp,Accessories,Fashion Shades,ACCS-0012,true,3.8,131
